video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=76qo1swdAjM&pp=ygUMYW50aS1zZW1ldGlj,/@MrTadhgHickey,Tadhg Hickey,Anti-Semitism,144K,1 month,Anti-Semitism Dir. Seán Downey.,2024-01-23 19:28:53.417588
/shorts/hcEHT7qpSAo,/@msnbc,MSNBC,#KanyeWest Antisemitic Tirade,674K,1 year,MSNBC's Ja'han Jones addresses Kanye West's latest antics. » Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc ...,2024-01-23 19:28:53.419752
/watch?v=QjYcUU8L1vo&pp=ygUMYW50aS1zZW1ldGlj,/@AJCGlobal,American Jewish Committee,What is Antisemitism?,31K,5 months,"What is antisemitism, or Jew-hatred? This video addresses the ways Jews have been vilified over the centuries, and why it poses ...",2024-01-23 19:28:53.423214
/watch?v=1eTNba56TBo&pp=ygUMYW50aS1zZW1ldGlj,/@nypost,New York Post,Jewish woman kicked out of cafe after complaining about antisemitic graffiti all over bathroom,27K,1 month,California coffee shop workers were filmed denying a Jewish customer access to the restroom after she complained it was filled ...,2024-01-23 19:28:53.425986
/watch?v=RwNxlg24PQg&pp=ygUMYW50aS1zZW1ldGlj,/@BreakThroughNews,BreakThrough News,We Went to the ADL's Anti-Semitism Conference and Saw Palestine Activists Compared to Neo-Nazis,138K,11 months,Anti-Semitism is indeed on the rise. So what does the ADL focus on at their annual conference on anti-Semitism? Palestinians ...,2024-01-23 19:28:53.428823
/watch?v=KGvCP_IeJFY&pp=ygUMYW50aS1zZW1ldGlj,/@ajplus,AJ+,Why Is Anti-Semitism Still Present In America? | AJ+,120K,5 years,#Antisemitism #Racism #RacismInAmerica Like us on Facebook: https://www.facebook.com/ajplusenglish Download the AJ+ app: ...,2024-01-23 19:28:53.432622
/watch?v=8q3new4ToZI&pp=ygUMYW50aS1zZW1ldGlj,/@TODAY,TODAY,Elon Musk under fire for endorsing antisemitic post on X,57K,2 months,"Elon Musk is under fire for agreeing with an antisemitic post on his social media platform X, formerly Twitter, that claims Jewish ...",2024-01-23 19:28:53.435468
/watch?v=T8SsHlDVc58&pp=ygUMYW50aS1zZW1ldGlj,/@Firstpost,Firstpost,Why are Jews Targeted? The Origins of Antisemitism | Flashback with Palki Sharma,1.5M,2 months,"Why are Jews Targeted? The Origins of Antisemitism | Flashback with Palki Sharma Since the Israel-Hamas war broke out, ...",2024-01-23 19:28:53.439143
/watch?v=F5ECueG-WaM&pp=ygUMYW50aS1zZW1ldGlj,/@dwnews,DW News,The murky myths behind antisemitism I DW News,115K,1 year,Antisemitism comes in many different forms and facets. Sometimes it can even be difficult to identify as such. You can say ...,2024-01-23 19:28:53.441558
/watch?v=gQuxdN-GR50&pp=ygUMYW50aS1zZW1ldGlj,/@NBCNews,NBC News,Epidemic of Hate: Antisemitism on the rise,17K,2 months,"Antisemitic incidents of harassment, vandalism and assault have grown exponentially since the start of the Israel-Hamas war, ...",2024-01-23 19:28:53.445109
/watch?v=qdvTtKCCZGo&pp=ygUMYW50aS1zZW1ldGlj,/@holocaustmuseum,United States Holocaust Memorial Museum,What Is Antisemitism?,87K,1 year,"Antisemitism means prejudice against or hatred of Jews. In the United States, antisemitic incidents hit an all-time high in 2021.",2024-01-23 19:28:53.447582
/watch?v=Ry7GAweC_rI&pp=ygUMYW50aS1zZW1ldGlj,/@dwnews,DW News,Rising antisemitism and anti-Israel sentiment in Latin America | DW News,53K,2 months,Anger over the Israeli offensive in Gaza has led to a spike in antisemitic attacks around the world. In the wake of the Hamas terror ...,2024-01-23 19:28:53.450213
/watch?v=PuyrWnWv5WA&pp=ygUMYW50aS1zZW1ldGlj,/@msnbc,MSNBC,"Anti-Semitic incidents surge 388% after Hamas attacks, ADL reports",24K,2 months,The Anti-Defamation League's latest report reveals a shocking 388% increase in anti-Semitic incidents following the October 7 ...,2024-01-23 19:28:53.452748
/shorts/8CGh8-eN4RE,/@MiddleEastEye,Middle East Eye,"Jon Stewart comments on support for Palestinians, antisemitism accusations",2.4M,1 year,I'm called antisemitic because I'm against Israel's treatment of Palestinians.” Speaking last night on The Late Show with Stephen ...,2024-01-23 19:28:53.455847
