video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=NYhy7txLoNY&pp=ygUEZ2F6YQ%3D%3D,/@TBNIsrael,TBN Israel,UPDATE: In-Depth Analysis of Gaza as Israel-Hamas War Reaches 100+ Days | TBN Israel,139K,11 hours,"TBN Israel's Yair Pinto reports on the Israel-Hamas War. Join Yair, as he provides a fully detailed, in-depth analysis on the current ...",2024-01-21 05:52:42.013483
/watch?v=SCHr564LI98&pp=ygUEZ2F6YQ%3D%3D,/@Channel4News,Channel 4 News,Israel-Gaza: Deadly Syria airstrike heightens Middle-East tensions while fighting continues in Gaza,118K,11 hours,Five senior members of Iran's paramilitary Revolutionary Guard have been killed in an airstrike in the Syrian capital Damascus.,2024-01-21 05:52:42.024655
/watch?v=5qDpFmWhSHI&pp=ygUEZ2F6YQ%3D%3D,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: Iran tensions escalate after Syria strike amid fighting in Gaza | LiveNOW from FOX,80K,5 hours,A fifth Iranian military adviser has been killed following an Israeli airstrike in Syria. National security analyst and retired Marine ...,2024-01-21 05:52:42.026731
/watch?v=NxBIUkxT6R8&pp=ygUEZ2F6YQ%3D%3D,/@wgntv,WGN News,The Non-Aligned Movement calls Israel's war in Gaza illegal and condemns attacks on Palestinians,273,5 hours,Heads of states of the Non-Aligned Movement Saturday called Israel's military campaign in the Gaza Strip “illegal” and strongly ...,2024-01-21 05:52:42.028850
/watch?v=UFZCV4WGFsc&pp=ygUEZ2F6YQ%3D%3D,/@trtworld,TRT World,Gaza's last university destroyed by Israeli forces,40K,1 day,"'I don't know what was inside the building' Israel blew up the only surviving university, Al Israa, in Palestine's Gaza, but US ...",2024-01-21 05:52:42.031027
/watch?v=HRs8x6UvvqI&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,The world’s reaction to Israel’s ICJ case for war on Gaza | The Listening Post,302K,18 hours,"The ICJ hearings have drawn scorn as well as shock from Israel's media punditry. In the West, however, the case has emboldened ...",2024-01-21 05:52:42.048131
/watch?v=qpvQc1RXlow&pp=ygUEZ2F6YQ%3D%3D,/@NBCNews,NBC News,Video shows damaged cemetery after Israeli forces search for hostages in Gaza,33K,1 day,Israel's military indicated to NBC News that its forces damaged a Khan Younis cemetery in the search for hostages that may have ...,2024-01-21 05:52:42.051555
/watch?v=-sSpmqFFgUI&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,No let-up in Israel’s bombing of Gaza,41K,22 hours,There hasn't been any let-up in the intense bombing across the Gaza Strip and it looks like it's all started again in the north where ...,2024-01-21 05:52:42.054433
/watch?v=Yn538y8vVsU&pp=ygUEZ2F6YQ%3D%3D,/@ForbesBreakingNews,Forbes Breaking News,Do You Still Oppose A General Ceasefire In Gaza?: Biden Admin Asked Point Blank,3.8K,1 day,"During Friday's White House press briefing, Admiral John Kirby was asked about the US's stance on a ceasefire in Gaza.",2024-01-21 05:52:42.056611
/watch?v=mXbnghe5W9g&pp=ygUEZ2F6YQ%3D%3D,/@DemocracyNow,Democracy Now!,"British Doctor on Witnessing Israel's Destruction of Gaza Hospitals, Horrific Injuries to Children",60K,1 day,"Support our work: https://democracynow.org/give Before Israel's unprecedented assault on Gaza, the territory had 36 functioning ...",2024-01-21 05:52:42.065238
